date,day_of_week,week_start,month,is_weekend,user_id,income_inr,total_expenses_inr,net_cash_flow_inr,daily_budget_inr,budget_variance_inr,cash_balance_inr,debt_balance_inr,essential_expenses_inr,discretionary_expenses_inr,financial_risk_score,finance_compliance_status,study_hours,focus_rating,focus_score,tasks_planned,tasks_completed,learning_risk_score,habit_completion_rate,average_habit_streak,sleep_hours,steps,water_liters,mood_score,stress_score,screen_time_hours,goal_progress_score,compliance_score,overall_risk_score,risk_level,active_alerts,productivity_score
2025-09-25,Thursday,2025-09-22,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,199,-199,2100,-1901,100315,172000,199,0,95,NON_COMPLIANT,1.6,4,77,3,3,26,0.5,2,7.7,10693,1.9,3.6,2.3,4.8,52,68,56,MEDIUM,0,75
2025-09-26,Friday,2025-09-22,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,202,-202,2100,-1898,100113,172000,202,0,95,NON_COMPLIANT,1,3,60,4,3,48,0.75,1.8,7.1,4634,2,3.4,2.2,5.6,53,68,59,HIGH,0,68
2025-09-27,Saturday,2025-09-22,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,657,-657,2600,-1943,99456,172000,657,0,95,NON_COMPLIANT,0,,,0,0,62,0.75,1.8,7.1,10728,2,3.3,2.7,6.7,39,64,64,HIGH,0,53
2025-09-28,Sunday,2025-09-22,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,365,-365,2600,-2235,99091,172000,0,365,95,NON_COMPLIANT,1.2,4,76,6,5,30,0.6,1.5,7,5216,1.8,3.1,2.8,5.7,57,68,56,MEDIUM,0,73
2025-09-29,Monday,2025-09-29,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1206,-1206,2100,-894,97885,172000,1206,0,95,NON_COMPLIANT,0,,,0,0,62,0.5,1.2,6.8,10380,2.1,3,3.1,5.5,20,60,67,HIGH,0,45
2025-09-30,Tuesday,2025-09-29,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,912,-912,2100,-1188,96973,172000,912,0,95,NON_COMPLIANT,0,,,0,0,62,1,1.8,7.5,9069,1.7,3.5,2.8,5.8,41,70,59,HIGH,0,60
2025-10-01,Wednesday,2025-09-29,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,85000,1489,83511,2100,-611,180484,172000,1489,0,21,COMPLIANT,2.4,4,79,4,4,21,0.5,1.8,7.3,7114,1.6,3.6,3.2,5.7,61,88,24,LOW,0,76
2025-10-02,Thursday,2025-09-29,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,23186,-23186,2100,21086,157298,172000,23186,0,43,COMPLIANT,1.2,4,78,3,3,28,0.75,2.3,7.1,10216,1.9,3.9,2.7,6.4,65,86,31,LOW,1,83
2025-10-03,Friday,2025-09-29,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1729,-1729,2100,-371,155569,172000,1172,557,34,COMPLIANT,0,,,0,0,62,0.5,1.7,7.3,9011,1.7,4.3,2.4,5.1,52,77,42,MEDIUM,0,45
2025-10-04,Saturday,2025-09-29,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,528,-528,2600,-2072,155041,172000,0,528,34,COMPLIANT,0,,,0,0,62,0.5,1.8,7.5,8571,1.8,3.4,2.9,6,56,77,42,MEDIUM,0,45
2025-10-05,Sunday,2025-09-29,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,2943,-2943,2600,343,152098,172000,2943,0,36,COMPLIANT,0,,,0,0,62,0.8,2.5,7.1,7035,1.9,3.4,3.2,5.9,72,82,38,MEDIUM,0,54
2025-10-06,Monday,2025-10-06,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,0,0,2100,-2100,152098,172000,0,0,36,COMPLIANT,1.5,5,96,4,4,8,0.75,2,7.5,4975,1.8,3.7,2.3,4.9,53,92,22,LOW,0,91
2025-10-07,Tuesday,2025-10-06,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1541,-1541,2100,-559,150557,172000,1541,0,37,COMPLIANT,1.5,5,94,6,6,10,0.5,1.5,7.3,9479,1.7,3.8,2.6,5.1,42,86,27,LOW,0,82
2025-10-08,Wednesday,2025-10-06,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1896,-1896,2100,-204,148661,172000,1097,799,38,COMPLIANT,2.5,4,82,2,2,18,0.75,2,7.5,4866,1.7,4.3,2.2,5.6,45,89,26,LOW,0,84
2025-10-09,Thursday,2025-10-06,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,983,-983,2100,-1117,147678,172000,983,0,38,COMPLIANT,1.3,3,61,2,2,45,0.75,2,7.1,8839,1.9,3.3,3.1,5,66,84,34,LOW,0,75
2025-10-10,Friday,2025-10-06,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,8000,-8000,2100,5900,139678,164000,8000,0,52,COMPLIANT,3,4,81,6,5,19,0.5,1.7,6.7,7126,1.6,3.3,2.6,5.2,70,81,36,LOW,0,72
2025-10-11,Saturday,2025-10-06,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,0,0,2600,-2600,139678,164000,0,0,42,COMPLIANT,0,,,0,0,62,0,1.2,7.6,5271,1.8,4.5,2.1,7.1,54,64,55,MEDIUM,1,30
2025-10-12,Sunday,2025-10-06,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1041,-1041,2600,-1559,138637,164000,1041,0,43,COMPLIANT,2.6,4,82,6,5,18,0.8,1.5,7.7,5231,1.9,4,2.9,7.2,74,88,28,LOW,0,82
2025-10-13,Monday,2025-10-13,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,244,-244,2100,-1856,138393,164000,244,0,43,COMPLIANT,1.9,4,78,6,5,23,0.5,1.7,7.5,4895,2.1,3.6,3,6.3,55,82,34,LOW,0,71
2025-10-14,Tuesday,2025-10-13,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,158,-158,2100,-1942,138235,164000,158,0,43,COMPLIANT,0,,,0,0,62,1,2.3,7.5,10440,2.2,3.7,2,5.8,58,83,38,MEDIUM,0,60
2025-10-15,Wednesday,2025-10-13,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1180,-1180,2100,-920,137055,164000,1180,0,44,COMPLIANT,0,,,0,0,62,1,3,6.7,3876,2.1,3.9,2.5,5.4,57,83,38,MEDIUM,0,60
2025-10-16,Thursday,2025-10-13,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,375,-375,2100,-1725,136680,164000,375,0,44,COMPLIANT,0,,,0,0,62,0.5,2.5,7.1,4055,1.9,3.1,2.8,5.7,41,74,46,MEDIUM,0,45
2025-10-17,Friday,2025-10-13,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1406,-1406,2100,-694,135274,164000,1406,0,45,COMPLIANT,0,,,0,0,62,0.75,2.5,6.6,10694,2.1,3.7,2.6,5.8,60,79,42,MEDIUM,0,53
2025-10-18,Saturday,2025-10-13,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,518,-518,2600,-2082,134756,164000,0,518,45,COMPLIANT,0,,,0,0,62,0.75,3,7.4,8997,2.2,3.3,2.5,6.5,65,78,43,MEDIUM,0,53
2025-10-19,Sunday,2025-10-13,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1316,-1316,2600,-1284,133440,164000,768,548,46,COMPLIANT,2.4,3,65,6,5,35,0.8,3.7,7.7,4409,2.1,4.2,2.8,7,68,84,34,LOW,0,74
2025-10-20,Monday,2025-10-20,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1119,-1119,2100,-981,132321,164000,0,1119,46,COMPLIANT,0,,,0,0,62,0.5,2.3,7.5,7242,1.6,4.4,1.9,6.2,53,73,47,MEDIUM,0,45
2025-10-21,Tuesday,2025-10-20,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1163,-1163,2100,-937,131158,164000,1163,0,47,COMPLIANT,1,4,77,4,4,31,0.75,2.2,6.8,9792,2,3.2,2.4,5.7,40,84,34,LOW,0,82
2025-10-22,Wednesday,2025-10-20,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,303,-303,2100,-1797,130855,164000,303,0,47,COMPLIANT,1.8,3,64,3,2,38,1,2.8,7.6,5181,1.7,3.5,2.4,6.2,59,87,32,LOW,0,75
2025-10-23,Thursday,2025-10-20,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1629,-1629,2100,-471,129226,164000,1629,0,48,COMPLIANT,2.3,4,83,4,4,17,1,3.5,7.6,8641,2.2,4.1,2.4,5.7,66,91,26,LOW,0,92
2025-10-24,Friday,2025-10-20,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,927,-927,2100,-1173,128299,164000,927,0,48,COMPLIANT,0,,,0,0,62,0.5,2.7,6.6,9053,1.6,3.8,2.7,4.9,67,73,47,MEDIUM,0,45
2025-10-25,Saturday,2025-10-20,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,711,-711,2600,-1889,127588,164000,0,711,49,COMPLIANT,0,,,0,0,62,0.75,3.2,8.1,8568,2.1,3.8,2.7,6.4,72,77,44,MEDIUM,0,53
2025-10-26,Sunday,2025-10-20,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,931,-931,2600,-1669,126657,164000,0,931,49,COMPLIANT,1.9,5,97,2,2,5,0.8,3.8,8,5055,1.8,4.3,2.5,6.6,74,90,26,LOW,0,93
2025-10-27,Monday,2025-10-27,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,335,-335,2100,-1765,126322,164000,335,0,49,COMPLIANT,1.7,3,62,6,5,40,0.75,3.5,6.6,11481,2.1,3.7,2.7,6.4,40,82,37,LOW,0,71
2025-10-28,Tuesday,2025-10-27,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,631,-631,2100,-1469,125691,164000,631,0,50,COMPLIANT,2.7,4,78,2,2,22,0.25,2.2,6.5,6407,1.8,3.6,1.9,6,58,75,41,MEDIUM,1,68
2025-10-29,Wednesday,2025-10-27,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,851,-851,2100,-1249,124840,164000,851,0,50,COMPLIANT,2.1,5,95,3,3,5,0.5,2.5,7.7,4562,1.8,4.4,2.1,5.8,63,84,31,LOW,0,83
2025-10-30,Thursday,2025-10-27,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,2950,-2950,2100,850,121890,164000,1397,1553,52,COMPLIANT,0,,,0,0,62,0.5,2.8,7.1,6701,2.1,4,2.7,6.4,64,72,50,MEDIUM,0,45
2025-10-31,Friday,2025-10-27,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,136,-136,2100,-1964,121754,164000,136,0,52,COMPLIANT,2,3,65,4,3,35,1,3.5,7.3,10538,2.2,4,1.9,5,70,87,33,LOW,0,78
2025-11-01,Saturday,2025-10-27,2025-11,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,85000,696,84304,2600,-1904,206058,164000,696,0,20,COMPLIANT,0,,,0,0,62,0.75,3.8,7.1,6460,2,3.9,1.8,5.6,69,86,31,LOW,0,53
2025-11-02,Sunday,2025-10-27,2025-11,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,22438,-22438,2600,19838,183620,164000,22438,0,42,COMPLIANT,3.1,3,64,2,2,36,0.4,2.5,7.4,4604,2.1,3.8,1.7,6.9,57,77,40,MEDIUM,2,66
2025-11-03,Monday,2025-11-03,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,2900,-2900,2100,800,180720,164000,1694,1206,34,COMPLIANT,2,5,97,5,5,5,0.75,3,6.8,8079,2,3.7,1.7,5.1,58,93,20,LOW,0,91
2025-11-04,Tuesday,2025-11-03,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,0,0,2100,-2100,180720,164000,0,0,34,COMPLIANT,2.8,3,67,4,3,33,1,3.7,7,9740,2.1,4.1,2.3,5.8,65,92,25,LOW,0,79
2025-11-05,Wednesday,2025-11-03,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,4304,-4304,2100,2204,176416,164000,4304,0,46,COMPLIANT,2.9,4,83,3,3,17,0.75,3.8,7.5,5702,1.7,3.7,2.8,6.1,69,87,29,LOW,0,85
2025-11-06,Thursday,2025-11-03,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1939,-1939,2100,-161,174477,164000,802,1137,37,COMPLIANT,2,4,82,3,3,18,1,4.5,7,10934,2.3,4.2,2.3,5.7,74,94,22,LOW,0,92
2025-11-07,Friday,2025-11-03,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1222,-1222,2100,-878,173255,164000,1222,0,38,COMPLIANT,3.1,3,66,4,3,34,0.75,4.8,6.9,10950,2,4.1,2.6,6.1,81,86,31,LOW,0,71
2025-11-08,Saturday,2025-11-03,2025-11,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,2565,-2565,2600,-35,170690,164000,0,2565,39,COMPLIANT,0,,,0,0,62,0.75,5.3,7.7,9662,2.1,3.6,1.6,6.8,85,80,40,MEDIUM,0,53
2025-11-09,Sunday,2025-11-03,2025-11,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,0,0,2600,-2600,170690,164000,0,0,39,COMPLIANT,2.9,5,100,2,2,5,1,6.2,7.6,6579,2.3,4.2,2.2,6,86,96,19,LOW,0,100
2025-11-10,Monday,2025-11-10,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,11085,-11085,2100,8985,159605,156000,8753,2332,55,COMPLIANT,1.2,5,95,2,2,11,0.75,5.5,7,8557,1.6,3.5,2,4.7,42,86,31,LOW,1,90
2025-11-11,Tuesday,2025-11-10,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1183,-1183,2100,-917,158422,156000,1183,0,46,COMPLIANT,0,,,0,0,62,1,6.2,6.6,9011,2.2,3.6,1.8,4.8,61,83,39,MEDIUM,0,60
2025-11-12,Wednesday,2025-11-10,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,0,0,2100,-2100,158422,156000,0,0,46,COMPLIANT,1.5,5,94,3,3,10,0.5,5,6.8,5719,1.7,3.4,2.7,6.3,46,84,31,LOW,0,82
2025-11-13,Thursday,2025-11-10,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,369,-369,2100,-1731,158053,156000,369,0,46,COMPLIANT,0,,,0,0,62,0.75,5.5,7.3,8258,2.1,4.3,1.9,5.1,51,79,42,MEDIUM,0,53
2025-11-14,Friday,2025-11-10,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,309,-309,2100,-1791,157744,156000,309,0,46,COMPLIANT,0,,,0,0,62,0.25,3.5,6.7,6265,2,3.3,2.3,5.9,50,69,51,MEDIUM,1,38
2025-11-15,Saturday,2025-11-10,2025-11,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,328,-328,2600,-2272,157416,156000,0,328,46,COMPLIANT,0,,,0,0,62,0.5,3.5,7.5,4287,2.1,4.3,1.4,6.6,67,73,47,MEDIUM,0,45
2025-11-16,Sunday,2025-11-10,2025-11,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,2254,-2254,2600,-346,155162,156000,0,2254,47,COMPLIANT,0,,,0,0,62,0.6,3.8,7.8,5881,1.9,3.6,1.8,7,67,75,46,MEDIUM,0,48
2025-11-17,Monday,2025-11-17,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,392,-392,2100,-1708,154770,156000,392,0,48,COMPLIANT,3,3,66,5,4,34,0.75,4.3,6.6,10690,2,4,1.7,5.7,60,83,35,LOW,0,72
2025-11-18,Tuesday,2025-11-17,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,8369,224,8145,2100,-1876,162915,156000,224,0,45,COMPLIANT,0,,,0,0,62,1,5,6.9,8600,2.2,3.6,1.5,5.8,64,83,38,MEDIUM,0,60
2025-11-19,Wednesday,2025-11-17,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1434,-1434,2100,-666,161481,156000,1434,0,46,COMPLIANT,2.1,4,78,4,4,22,0.5,4.5,6.5,5559,1.8,3.5,1.8,5.9,49,81,35,LOW,0,75
2025-11-20,Thursday,2025-11-17,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1011,-1011,2100,-1089,160470,156000,300,711,46,COMPLIANT,1.2,4,76,6,5,30,0.5,4.3,7.6,9070,1.6,3.8,3,5.4,55,80,37,LOW,0,70
2025-11-21,Friday,2025-11-17,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,2989,-2989,2100,889,157481,156000,2989,0,48,COMPLIANT,2.8,4,82,6,5,18,0.75,4.8,7.3,8789,1.8,4.1,3.1,5.6,78,87,30,LOW,0,80
2025-11-22,Saturday,2025-11-17,2025-11,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,2023,-2023,2600,-577,155458,156000,825,1198,49,COMPLIANT,4.1,3,71,4,3,29,1,5.5,7.2,8486,2.2,3.8,3.4,7.2,85,87,32,LOW,0,81
2025-11-23,Sunday,2025-11-17,2025-11,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1760,-1760,2600,-840,153698,156000,951,809,50,COMPLIANT,2.3,4,80,6,5,20,0.6,5.5,7.5,5392,1.6,3.5,2.5,6.7,71,82,35,LOW,0,75
2025-11-24,Monday,2025-11-24,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,640,-640,2100,-1460,153058,156000,640,0,50,COMPLIANT,3.5,3,70,4,3,30,1,6.2,6.6,9463,1.7,3.5,2.7,5.5,60,88,31,LOW,0,80
2025-11-25,Tuesday,2025-11-24,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,424,-424,2100,-1676,152634,156000,424,0,50,COMPLIANT,2.8,4,82,4,4,18,0.75,5.7,7.1,6325,2.1,3.3,2.4,5.3,65,86,31,LOW,0,84
2025-11-26,Wednesday,2025-11-24,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,0,0,2100,-2100,152634,156000,0,0,50,COMPLIANT,0,,,0,0,77,0.75,5.2,6.5,6657,2,3.4,3,5.5,63,74,49,MEDIUM,1,53
2025-11-27,Thursday,2025-11-24,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1048,-1048,2100,-1052,151586,156000,1048,0,51,COMPLIANT,1.7,4,77,3,3,25,0.5,5,6.5,4116,2,2.9,3.3,5,65,79,38,MEDIUM,0,75
2025-11-28,Friday,2025-11-24,2025-11,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1421,-1421,2100,-679,150165,156000,116,1305,51,COMPLIANT,0,,,0,0,77,0.75,4.8,7.4,11033,2.2,3.2,2.9,5.9,54,74,49,MEDIUM,0,53
2025-11-29,Saturday,2025-11-24,2025-11,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1554,-1554,2600,-1046,148611,156000,1119,435,52,COMPLIANT,0,,,0,0,77,0.5,4.7,7.1,9180,2.1,3,3.3,5.8,73,69,54,MEDIUM,1,45
2025-11-30,Sunday,2025-11-24,2025-11,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,2213,-2213,2600,-387,146398,156000,2213,0,53,COMPLIANT,3.6,5,100,3,3,5,0.6,5,8.1,3813,2.2,3.7,2.7,6.7,61,84,32,LOW,0,88
2025-12-01,Monday,2025-12-01,2025-12,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,85000,1143,83857,2100,-957,230255,156000,0,1143,21,COMPLIANT,3.4,4,86,4,4,14,1,5.7,7.6,9096,2,3.4,2.5,5.6,62,99,14,LOW,0,94
2025-12-02,Tuesday,2025-12-01,2025-12,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,23387,-23387,2100,21287,206868,156000,23387,0,43,COMPLIANT,3.9,4,84,2,2,16,0.5,5.7,6.8,8454,1.8,3.8,3.4,6.5,52,83,33,LOW,1,78
2025-12-03,Wednesday,2025-12-01,2025-12,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1834,-1834,2100,-266,205034,156000,1471,363,34,COMPLIANT,0,,,0,0,77,0.5,5.5,6.5,5580,1.6,2.9,3.3,5.3,67,73,47,MEDIUM,0,45
2025-12-04,Thursday,2025-12-01,2025-12,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,544,-544,2100,-1556,204490,156000,544,0,34,COMPLIANT,1.5,3,62,2,2,42,0.75,5.8,6.7,10490,1.8,3.4,3,5.8,57,86,31,LOW,0,75
2025-12-05,Friday,2025-12-01,2025-12,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,3449,-3449,2100,1349,201041,156000,3449,0,36,COMPLIANT,3,4,85,5,5,15,1,6.5,7.3,9805,1.8,3.7,2.6,5.1,82,95,20,LOW,1,93
2025-12-06,Saturday,2025-12-01,2025-12,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1397,-1397,2600,-1203,199644,156000,0,1397,37,COMPLIANT,3.2,3,67,5,4,33,0.75,6.7,7.3,11433,2.2,3.8,3.3,6.1,88,86,31,LOW,0,73
