week_start,week_end,total_income_inr,total_expenses_inr,net_savings_inr,expense_growth_rate,study_hours,average_focus_score,habit_completion_rate,average_sleep_hours,average_stress_score,goal_progress_score,compliance_score,overall_risk_score,alert_count,productivity_score,next_week_expenses_target_inr,next_week_habit_rate_target
2026-01-12,2026-01-18,7569,6941,628,-0.6121,6.3,74,0.65,7.3,2.4,58.9,79.7,39.6,1,60,4291,0.6857
2026-01-19,2026-01-25,0,4291,-4291,-0.3818,9.6,72.4,0.6857,7.1,2.8,73.4,81.7,36.4,0,67.7,9505,0.6929
2026-01-26,2026-02-01,85000,9505,75495,1.2151,10.4,77,0.6929,6.9,2.6,64.9,82.6,35.4,0,69.4,30605,0.6929
2026-02-02,2026-02-08,0,30605,-30605,2.2199,6,91.3,0.6929,7.4,2.4,70.9,84.1,32.6,1,66.4,13999,0.6929
2026-02-09,2026-02-15,0,13999,-13999,-0.5426,7.8,86.7,0.6929,7.3,2.2,62.4,81.7,36.3,1,64.7,7423,0.8929
2026-02-16,2026-02-22,0,7423,-7423,-0.4697,7.6,85,0.8929,7.2,2.3,70.6,86,32.7,0,75.3,4552,0.7714
2026-02-23,2026-03-01,85000,4552,80448,-0.3868,2.8,84,0.7714,7.1,2.1,62.3,80.3,39.9,1,58,31683,0.8286
2026-03-02,2026-03-08,0,31683,-31683,5.9602,10.2,84,0.8286,7.3,1.9,71.3,88.4,28.3,1,77.3,12687,0.7357
2026-03-09,2026-03-15,0,12687,-12687,-0.5996,10.8,82.3,0.7357,7.1,2,70.7,85.6,31.1,2,76.4,4916,0.65
2026-03-16,2026-03-22,8408,4916,3492,-0.6125,12.3,80.8,0.65,7.3,1.9,69.1,83.3,33.9,0,70.6,4824,0.7857
2026-03-23,2026-03-29,0,4824,-4824,-0.0187,10,82.5,0.7857,7.3,2.2,76.4,84.1,34,0,72.1,32337,0.6786
2026-03-30,2026-04-05,88000,32337,55663,5.7034,8.5,75.5,0.6786,7.2,2.1,70.4,83.4,33.9,1,65.6,15546,0.8286
2026-04-06,2026-04-12,0,15546,-15546,-0.5193,14.9,73.3,0.8286,7.2,2.5,75,87,30.3,1,76.6,2195,0.75
2026-04-13,2026-04-19,0,2195,-2195,-0.8588,9,76.7,0.75,7.2,2.6,70.1,81.9,37,1,64.3,9169,0.6571
2026-04-20,2026-04-26,0,9169,-9169,3.1772,11.2,82,0.6571,7.3,2.7,75.1,82.9,34.4,1,75,29727,0.6857
2026-04-27,2026-05-03,88000,29727,58273,2.2421,12.5,76.8,0.6857,7.3,2.7,75.1,84.1,32.9,1,74.4,18650,0.7143
2026-05-04,2026-05-10,0,18650,-18650,-0.3726,9.8,81.5,0.7143,7,3,74.1,83.9,33.6,1,68,5058,0.6929
2026-05-11,2026-05-17,0,5058,-5058,-0.7288,7.8,71.5,0.6929,7.2,3.4,73.6,79.4,40.3,3,65.3,5400,0.8714
2026-05-18,2026-05-24,9668,5400,4268,0.0676,20.6,79.5,0.8714,7.2,3.5,77.6,86.7,31,0,82.7,4145,0.7857
2026-05-25,2026-05-31,0,4145,-4145,-0.2324,13.4,75.2,0.7857,7.1,3.3,81.4,82.6,36.4,1,71.6,30583,0.7643
2026-06-01,2026-06-07,88000,30583,57417,6.3783,10.9,77,0.7643,7,3,72.4,86,31.3,1,73.4,15977,0.7143
2026-06-08,2026-06-14,0,15977,-15977,-0.4776,13.8,69.3,0.7143,7.2,3,79.6,83.3,34.7,1,70,7239,0.5786
2026-06-15,2026-06-21,0,7239,-7239,-0.5469,11.1,67,0.5786,7.1,3.2,72,78.4,40.6,2,65.6,3602,0.8643
2026-06-22,2026-06-28,0,3602,-3602,-0.5024,11.1,85.4,0.8643,7.1,2.3,82.7,85.7,32.3,0,79.1,36463,0.8214
2026-06-29,2026-07-05,88000,36463,51537,9.123,9.3,89.8,0.8214,7.3,2.1,74.9,86.9,30.4,1,75,16179,0.75
2026-07-06,2026-07-12,0,16179,-16179,-0.5563,7.6,70.5,0.75,7.2,2.1,80,82.7,35.9,1,65.1,6663,0.7929
2026-07-13,2026-07-19,8057,6663,1394,-0.5882,10.2,80.4,0.7929,7.2,2.1,81.9,84.7,33.3,0,76.1,6035,0.6786
2026-07-20,2026-07-26,0,6035,-6035,-0.0943,11.8,74.4,0.6786,7.4,2.6,79.1,81.3,37,1,68.6,28284,0.6857
2026-07-27,2026-08-02,88000,28284,59716,3.6867,9.3,77.3,0.6857,7.1,2.6,73.6,81.6,36.6,2,65.9,12172,0.9
2026-08-03,2026-08-09,0,12172,-12172,-0.5697,12.7,84,0.9,7.2,2.6,85.6,90.6,25.7,0,83.6,13123,0.9286
2026-08-10,2026-08-16,0,13123,-13123,0.0781,5.5,76,0.9286,7.1,2.8,75,83.7,36.3,0,66.3,9632,0.8643
2026-08-17,2026-08-23,0,9632,-9632,-0.266,9.5,74.2,0.8643,7.1,2.9,82.9,84.9,33.9,0,75.6,5784,0.8571
2026-08-24,2026-08-30,0,5784,-5784,-0.3995,8.8,69.8,0.8571,7.3,2.7,82.3,82.9,37.1,0,70.9,32623,0.7917
2026-08-31,2026-09-05,88000,32623,55377,4.6402,12,78.6,0.7917,7.3,2.3,84.7,87.5,28.7,2,77.3,,
