date,day_of_week,week_start,month,is_weekend,user_id,income_inr,total_expenses_inr,essential_expenses_inr,discretionary_expenses_inr,housing_inr,food_inr,transport_inr,utilities_inr,debt_payment_inr,education_inr,healthcare_inr,dining_inr,shopping_inr,entertainment_inr,subscriptions_inr,net_cash_flow_inr,daily_budget_inr,budget_variance_inr,cash_balance_inr,debt_balance_inr,study_subject,study_hours,focus_rating,focus_score,tasks_planned,tasks_completed,study_tool,learning_risk_score,exercise_scheduled,exercise_completed,exercise_minutes,exercise_streak,reading_scheduled,reading_completed,reading_minutes,reading_streak,meditation_scheduled,meditation_completed,meditation_minutes,meditation_streak,sleep_before_11_scheduled,sleep_before_11_completed,sleep_before_11_streak,budget_review_scheduled,budget_review_completed,budget_review_streak,meal_prep_scheduled,meal_prep_completed,meal_prep_streak,habit_completion_rate,average_habit_streak,sleep_hours,steps,water_liters,mood_score,stress_score,screen_time_hours,savings_goal_progress,study_goal_progress,exercise_goal_progress,reading_goal_progress,debt_goal_progress,sleep_goal_progress,overall_goal_progress_score,financial_risk_score,academic_risk_score,behavioral_risk_score,overall_risk_score,compliance_score,risk_level,active_alerts,productivity_score
2025-09-16,Tuesday,2025-09-15,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,931,931,0,0,683,248,0,0,0,0,0,0,0,0,-931,2100,-1169,100628,172000,Database Systems,2.9,3,68,3,2,Practice problems,32,true,true,46,3,true,true,29,6,true,true,16,2,true,true,3,false,false,2,false,false,0,1,2.7,7.5,9140,1.9,4.2,2.4,6.2,0,0.4,0.4,1.16,0.0833,1.0417,48,65,32,3,38,83,MEDIUM,0,77
2025-09-17,Wednesday,2025-09-15,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,310,310,0,0,0,310,0,0,0,0,0,0,0,0,-310,2100,-1790,100318,172000,,0,,,0,0,,62,false,false,0,3,true,true,31,7,true,true,13,3,true,true,4,false,false,2,true,true,1,1,3.3,6.8,5016,2.2,3.9,2.3,5.3,0,0.4,0.4,1.24,0.0833,0.9444,47,65,62,3,47,77,MEDIUM,0,60
2025-09-18,Thursday,2025-09-15,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,6409,1426,125,1301,0,0,125,0,0,0,0,1301,0,0,0,4983,2100,-674,105301,172000,,0,,,0,0,,62,true,true,37,4,true,true,34,8,true,true,15,4,true,false,0,false,false,2,false,false,1,0.75,3.2,6.6,9460,2.1,4,2.4,5.3,0,0.4,0.6,1.36,0.0833,0.9167,50,95,62,16,63,65,HIGH,0,53
2025-09-19,Friday,2025-09-15,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,396,396,0,0,0,396,0,0,0,0,0,0,0,0,-396,2100,-1704,104905,172000,Mathematics,2.8,3,63,2,2,Practice problems,37,true,false,0,0,true,true,41,9,true,false,0,0,true,true,1,false,false,2,false,false,1,0.5,2.2,6.6,5818,1.7,4,3.1,6.3,0,0.6,0.6,1.5,0.0833,0.9167,53,95,37,33,60,65,HIGH,0,68
2025-09-20,Saturday,2025-09-15,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1449,0,1449,0,0,0,0,0,0,0,1449,0,0,0,-1449,2600,-1151,103456,172000,,0,,,0,0,,62,true,true,35,1,true,true,34,10,true,true,10,1,true,true,2,false,false,2,false,false,1,1,2.8,7.9,10465,1.8,3.4,2.6,7,0,0.6,0.8,1.36,0.0833,1.0972,58,95,62,4,60,69,HIGH,0,60
2025-09-21,Sunday,2025-09-15,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1758,0,1758,0,0,0,0,0,0,0,0,0,1758,0,-1758,2600,-842,101698,172000,Database Systems,1.5,3,60,4,3,Practice problems,44,false,false,0,1,true,false,0,0,true,true,13,2,true,false,0,true,true,3,true,true,2,0.6,1.3,7.1,4456,1.6,3.9,2.8,6.2,0,0.7071,0.8,0,0.0833,0.9861,43,95,44,26,60,66,HIGH,0,64
2025-09-22,Monday,2025-09-22,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,588,588,0,0,326,262,0,0,0,0,0,0,0,0,-588,2100,-1512,101110,172000,,0,,,0,0,,62,true,true,42,2,true,true,23,1,true,true,18,3,true,false,0,false,false,3,false,false,2,0.75,1.8,7.6,11489,1.7,3.2,3,5.7,0,0,0.2,0.92,0.0833,1.0556,37,95,62,16,63,65,HIGH,0,53
2025-09-23,Tuesday,2025-09-22,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,221,221,0,0,0,221,0,0,0,0,0,0,0,0,-221,2100,-1879,100889,172000,System Design,2.7,3,65,4,3,Video and notes,35,true,true,32,3,true,false,0,0,true,true,11,4,true,true,1,false,false,3,false,false,2,0.75,2.2,7.4,9977,1.6,3.4,2.2,5.9,0,0.1929,0.4,0,0.0833,1.0278,28,95,35,16,55,70,MEDIUM,0,71
2025-09-24,Wednesday,2025-09-22,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,375,375,0,0,0,375,0,0,0,0,0,0,0,0,-375,2100,-1725,100514,172000,Data Structures,1.5,4,81,3,3,Video and notes,23,false,false,0,3,true,true,37,1,true,true,16,5,true,true,2,false,false,3,true,true,3,1,2.8,7.2,5029,2.1,3.9,2.7,5.2,0,0.3,0.4,1.48,0.0833,1,46,95,23,3,48,77,MEDIUM,0,91
2025-09-25,Thursday,2025-09-22,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,199,199,0,0,0,199,0,0,0,0,0,0,0,0,-199,2100,-1901,100315,172000,Mathematics,1.6,4,77,3,3,Practice problems,26,true,true,30,4,true,true,35,2,true,false,0,0,true,false,0,false,false,3,false,false,3,0.5,2,7.7,10693,1.9,3.6,2.3,4.8,0,0.4143,0.6,1.4,0.0833,1.0694,52,95,26,31,56,68,MEDIUM,0,75
2025-09-26,Friday,2025-09-22,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,202,202,0,0,0,202,0,0,0,0,0,0,0,0,-202,2100,-1898,100113,172000,Data Analytics,1,3,60,4,3,Flashcards,48,true,false,0,0,true,true,35,3,true,true,18,1,true,true,1,false,false,3,false,false,3,0.75,1.8,7.1,4634,2,3.4,2.2,5.6,0,0.4857,0.6,1.4,0.0833,0.9861,53,95,48,16,59,68,HIGH,0,68
2025-09-27,Saturday,2025-09-22,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,657,657,0,0,657,0,0,0,0,0,0,0,0,0,-657,2600,-1943,99456,172000,,0,,,0,0,,62,true,true,27,1,true,false,0,0,true,true,18,2,true,true,2,false,false,3,false,false,3,0.75,1.8,7.1,10728,2,3.3,2.7,6.7,0,0.4857,0.8,0,0.0833,0.9861,39,95,62,18,64,64,HIGH,0,53
2025-09-28,Sunday,2025-09-22,2025-09,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,365,0,365,0,0,0,0,0,0,0,365,0,0,0,-365,2600,-2235,99091,172000,Communication Skills,1.2,4,76,6,5,Practice problems,30,false,false,0,1,true,true,38,1,true,true,17,3,true,false,0,true,true,4,true,false,0,0.6,1.5,7,5216,1.8,3.1,2.8,5.7,0,0.5714,0.8,1.5,0.0833,0.9722,57,95,30,25,56,68,MEDIUM,0,73
2025-09-29,Monday,2025-09-29,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1206,1206,0,0,1088,118,0,0,0,0,0,0,0,0,-1206,2100,-894,97885,172000,,0,,,0,0,,62,true,true,28,2,true,false,0,0,true,false,0,0,true,true,1,false,false,4,false,false,0,0.5,1.2,6.8,10380,2.1,3,3.1,5.5,0,0,0.2,0,0.0833,0.9444,20,95,62,32,67,60,HIGH,0,45
2025-09-30,Tuesday,2025-09-29,2025-09,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,912,912,0,0,804,108,0,0,0,0,0,0,0,0,-912,2100,-1188,96973,172000,,0,,,0,0,,62,true,true,50,3,true,true,32,1,true,true,11,1,true,true,2,false,false,4,false,false,0,1,1.8,7.5,9069,1.7,3.5,2.8,5.8,0,0,0.4,1.28,0.0833,1.0417,41,95,62,3,59,70,HIGH,0,60
2025-10-01,Wednesday,2025-09-29,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,85000,1489,1489,0,0,252,150,0,0,0,1087,0,0,0,0,83511,2100,-611,180484,172000,Data Analytics,2.4,4,79,4,4,Flashcards,21,false,false,0,3,true,true,35,2,true,true,9,2,true,false,0,false,false,4,true,false,0,0.5,1.8,7.3,7114,1.6,3.6,3.2,5.7,1.5,0.1714,0.4,1.4,0.0833,1.0139,61,21,21,33,24,88,LOW,0,76
2025-10-02,Thursday,2025-09-29,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,23186,23186,0,22000,997,189,0,0,0,0,0,0,0,0,-23186,2100,21086,157298,172000,Database Systems,1.2,4,78,3,3,Flashcards,28,true,true,46,4,true,true,27,3,true,true,16,3,true,false,0,false,false,4,false,false,0,0.75,2.3,7.1,10216,1.9,3.9,2.7,6.4,1.5,0.2571,0.6,1.08,0.0833,0.9861,65,43,28,17,31,86,LOW,1,83
2025-10-03,Friday,2025-09-29,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1729,1172,557,0,771,401,0,0,0,0,557,0,0,0,-1729,2100,-371,155569,172000,,0,,,0,0,,62,true,true,54,5,true,false,0,0,true,false,0,0,true,true,1,false,false,4,false,false,0,0.5,1.7,7.3,9011,1.7,4.3,2.4,5.1,1.5,0.2571,0.8,0,0.0833,1.0139,52,34,62,31,42,77,MEDIUM,0,45
2025-10-04,Saturday,2025-09-29,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,528,0,528,0,0,0,0,0,0,0,528,0,0,0,-528,2600,-2072,155041,172000,,0,,,0,0,,62,true,true,51,6,true,false,0,0,true,true,17,1,true,false,0,false,false,4,false,false,0,0.5,1.8,7.5,8571,1.8,3.4,2.9,6,1.5,0.2571,1,0,0.0833,1.0417,56,34,62,31,42,77,MEDIUM,0,45
2025-10-05,Sunday,2025-09-29,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,2943,2943,0,0,0,0,2943,0,0,0,0,0,0,0,-2943,2600,343,152098,172000,,0,,,0,0,,62,false,false,0,6,true,true,38,1,true,true,13,2,true,false,0,true,true,5,true,true,1,0.8,2.5,7.1,7035,1.9,3.4,3.2,5.9,1.5,0.2571,1,1.5,0.0833,0.9861,72,36,62,14,38,82,MEDIUM,0,54
2025-10-06,Monday,2025-10-06,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,-2100,152098,172000,Mathematics,1.5,5,96,4,4,Flashcards,8,true,false,0,0,true,true,43,2,true,true,16,3,true,true,1,false,false,5,false,false,1,0.75,2,7.5,4975,1.8,3.7,2.3,4.9,1.5,0.1071,0,1.5,0.0833,1.0417,53,36,8,16,22,92,LOW,0,91
2025-10-07,Tuesday,2025-10-06,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1541,1541,0,0,465,177,899,0,0,0,0,0,0,0,-1541,2100,-559,150557,172000,Mathematics,1.5,5,94,6,6,Video and notes,10,true,true,38,1,true,false,0,0,true,false,0,0,true,true,2,false,false,5,false,false,1,0.5,1.5,7.3,9479,1.7,3.8,2.6,5.1,1.5,0.2143,0.2,0,0.0833,1.0139,42,37,10,31,27,86,LOW,0,82
2025-10-08,Wednesday,2025-10-06,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1896,1097,799,0,709,388,0,0,0,0,0,0,0,799,-1896,2100,-204,148661,172000,Mathematics,2.5,4,82,2,2,Practice problems,18,false,false,0,1,true,false,0,0,true,true,16,1,true,true,3,false,false,5,true,true,2,0.75,2,7.5,4866,1.7,4.3,2.2,5.6,1.5,0.3929,0.2,0,0.0833,1.0417,45,38,18,16,26,89,LOW,0,84
2025-10-09,Thursday,2025-10-06,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,983,983,0,0,765,218,0,0,0,0,0,0,0,0,-983,2100,-1117,147678,172000,Communication Skills,1.3,3,61,2,2,Video and notes,45,true,true,46,2,true,true,28,1,true,true,9,2,true,false,0,false,false,5,false,false,2,0.75,2,7.1,8839,1.9,3.3,3.1,5,1.5,0.4857,0.4,1.12,0.0833,0.9861,66,38,45,16,34,84,LOW,0,75
2025-10-10,Friday,2025-10-06,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,8000,8000,0,0,0,0,0,8000,0,0,0,0,0,0,-8000,2100,5900,139678,164000,Data Structures,3,4,81,6,5,Flashcards,19,true,false,0,0,true,true,42,2,true,false,0,0,true,true,1,false,false,5,false,false,2,0.5,1.7,6.7,7126,1.6,3.3,2.6,5.2,1.5,0.7,0.4,1.5,0.1667,0.9306,70,52,19,31,36,81,LOW,0,72
2025-10-11,Saturday,2025-10-06,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,-2600,139678,164000,,0,,,0,0,,62,true,false,0,0,true,false,0,0,true,false,0,0,true,false,0,false,false,5,false,false,2,0,1.2,7.6,5271,1.8,4.5,2.1,7.1,1.5,0.7,0.4,0,0.1667,1.0556,54,42,62,66,55,64,MEDIUM,1,30
2025-10-12,Sunday,2025-10-06,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1041,1041,0,0,1041,0,0,0,0,0,0,0,0,0,-1041,2600,-1559,138637,164000,Mathematics,2.6,4,82,6,5,Video and notes,18,false,false,0,0,true,true,34,1,true,true,9,1,true,true,1,true,true,6,true,false,0,0.8,1.5,7.7,5231,1.9,4,2.9,7.2,1.5,0.8857,0.4,1.36,0.1667,1.0694,74,43,18,17,28,88,LOW,0,82
2025-10-13,Monday,2025-10-13,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,244,244,0,0,0,244,0,0,0,0,0,0,0,0,-244,2100,-1856,138393,164000,Mathematics,1.9,4,78,6,5,Video and notes,23,true,false,0,0,true,true,42,2,true,false,0,0,true,true,2,false,false,6,false,false,0,0.5,1.7,7.5,4895,2.1,3.6,3,6.3,1.5,0.1357,0,1.5,0.1667,1.0417,55,43,23,32,34,82,LOW,0,71
2025-10-14,Tuesday,2025-10-13,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,158,158,0,0,0,158,0,0,0,0,0,0,0,0,-158,2100,-1942,138235,164000,,0,,,0,0,,62,true,true,27,1,true,true,41,3,true,true,17,1,true,true,3,false,false,6,false,false,0,1,2.3,7.5,10440,2.2,3.7,2,5.8,1.5,0.1357,0.2,1.5,0.1667,1.0417,58,43,62,3,38,83,MEDIUM,0,60
2025-10-15,Wednesday,2025-10-13,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1180,1180,0,0,1180,0,0,0,0,0,0,0,0,0,-1180,2100,-920,137055,164000,,0,,,0,0,,62,false,false,0,1,true,true,37,4,true,true,14,2,true,true,4,false,false,6,true,true,1,1,3,6.7,3876,2.1,3.9,2.5,5.4,1.5,0.1357,0.2,1.48,0.1667,0.9306,57,44,62,3,38,83,MEDIUM,0,60
2025-10-16,Thursday,2025-10-13,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,375,375,0,0,0,375,0,0,0,0,0,0,0,0,-375,2100,-1725,136680,164000,,0,,,0,0,,62,true,false,0,0,true,false,0,0,true,true,14,3,true,true,5,false,false,6,false,false,1,0.5,2.5,7.1,4055,1.9,3.1,2.8,5.7,1.5,0.1357,0.2,0,0.1667,0.9861,41,44,62,31,46,74,MEDIUM,0,45
2025-10-17,Friday,2025-10-13,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1406,1406,0,0,1101,305,0,0,0,0,0,0,0,0,-1406,2100,-694,135274,164000,,0,,,0,0,,62,true,true,49,1,true,true,45,1,true,false,0,0,true,true,6,false,false,6,false,false,1,0.75,2.5,6.6,10694,2.1,3.7,2.6,5.8,1.5,0.1357,0.4,1.5,0.1667,0.9167,60,45,62,16,42,79,MEDIUM,0,53
2025-10-18,Saturday,2025-10-13,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,518,0,518,0,0,0,0,0,0,0,0,0,518,0,-518,2600,-2082,134756,164000,,0,,,0,0,,62,true,true,41,2,true,true,37,2,true,false,0,0,true,true,7,false,false,6,false,false,1,0.75,3,7.4,8997,2.2,3.3,2.5,6.5,1.5,0.1357,0.6,1.48,0.1667,1.0278,65,45,62,18,43,78,MEDIUM,0,53
2025-10-19,Sunday,2025-10-13,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1316,768,548,0,768,0,0,0,0,0,0,0,548,0,-1316,2600,-1284,133440,164000,Data Analytics,2.4,3,65,6,5,Video and notes,35,false,false,0,2,true,true,40,3,true,false,0,0,true,true,8,true,true,7,true,true,2,0.8,3.7,7.7,4409,2.1,4.2,2.8,7,1.5,0.3071,0.6,1.5,0.1667,1.0694,68,46,35,16,34,84,LOW,0,74
2025-10-20,Monday,2025-10-20,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1119,0,1119,0,0,0,0,0,0,0,1119,0,0,0,-1119,2100,-981,132321,164000,,0,,,0,0,,62,true,false,0,0,true,true,37,4,true,true,9,1,true,false,0,false,false,7,false,false,2,0.5,2.3,7.5,7242,1.6,4.4,1.9,6.2,1.5,0,0,1.48,0.1667,1.0417,53,46,62,32,47,73,MEDIUM,0,45
2025-10-21,Tuesday,2025-10-20,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1163,1163,0,0,933,230,0,0,0,0,0,0,0,0,-1163,2100,-937,131158,164000,Communication Skills,1,4,77,4,4,Video and notes,31,true,true,51,1,true,false,0,0,true,true,16,2,true,true,1,false,false,7,false,false,2,0.75,2.2,6.8,9792,2,3.2,2.4,5.7,1.5,0.0714,0.2,0,0.1667,0.9444,40,47,31,16,34,84,LOW,0,82
2025-10-22,Wednesday,2025-10-20,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,303,303,0,0,0,303,0,0,0,0,0,0,0,0,-303,2100,-1797,130855,164000,Database Systems,1.8,3,64,3,2,Flashcards,38,false,false,0,1,true,true,45,1,true,true,12,3,true,true,2,false,false,7,true,true,3,1,2.8,7.6,5181,1.7,3.5,2.4,6.2,1.5,0.2,0.2,1.5,0.1667,1.0556,59,47,38,3,32,87,LOW,0,75
2025-10-23,Thursday,2025-10-20,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,1629,1629,0,0,1225,404,0,0,0,0,0,0,0,0,-1629,2100,-471,129226,164000,System Design,2.3,4,83,4,4,Video and notes,17,true,true,28,2,true,true,27,2,true,true,18,4,true,true,3,false,false,7,false,false,3,1,3.5,7.6,8641,2.2,4.1,2.4,5.7,1.5,0.3643,0.4,1.08,0.1667,1.0556,66,48,17,3,26,91,LOW,0,92
2025-10-24,Friday,2025-10-20,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,927,927,0,0,733,194,0,0,0,0,0,0,0,0,-927,2100,-1173,128299,164000,,0,,,0,0,,62,true,true,48,3,true,true,28,3,true,false,0,0,true,false,0,false,false,7,false,false,3,0.5,2.7,6.6,9053,1.6,3.8,2.7,4.9,1.5,0.3643,0.6,1.12,0.1667,0.9167,67,48,62,31,47,73,MEDIUM,0,45
2025-10-25,Saturday,2025-10-20,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,711,0,711,0,0,0,0,0,0,0,711,0,0,0,-711,2600,-1889,127588,164000,,0,,,0,0,,62,true,true,38,4,true,true,32,4,true,false,0,0,true,true,1,false,false,7,false,false,3,0.75,3.2,8.1,8568,2.1,3.8,2.7,6.4,1.5,0.3643,0.8,1.28,0.1667,1.125,72,49,62,17,44,77,MEDIUM,0,53
2025-10-26,Sunday,2025-10-20,2025-10,true,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,931,0,931,0,0,0,0,0,0,0,931,0,0,0,-931,2600,-1669,126657,164000,Mathematics,1.9,5,97,2,2,Video and notes,5,false,false,0,4,true,true,25,5,true,false,0,0,true,true,2,true,true,8,true,true,4,0.8,3.8,8,5055,1.8,4.3,2.5,6.6,1.5,0.5,0.8,1,0.1667,1.1111,74,49,5,15,26,90,LOW,0,93
2025-10-27,Monday,2025-10-27,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,335,335,0,0,0,335,0,0,0,0,0,0,0,0,-335,2100,-1765,126322,164000,Data Analytics,1.7,3,62,6,5,Video and notes,40,true,true,40,5,true,false,0,0,true,true,17,1,true,true,3,false,false,8,false,false,4,0.75,3.5,6.6,11481,2.1,3.7,2.7,6.4,1.5,0.1214,0.2,0,0.1667,0.9167,40,49,40,17,37,82,LOW,0,71
2025-10-28,Tuesday,2025-10-27,2025-10,false,6f168c2c-529c-4ec8-9932-90d1b493cf87,0,631,631,0,0,264,367,0,0,0,0,0,0,0,0,-631,2100,-1469,125691,164000,Communication Skills,2.7,4,78,2,2,Practice problems,22,true,false,0,0,true,true,23,1,true,false,0,0,true,false,0,false,false,8,false,false,4,0.25,2.2,6.5,6407,1.8,3.6,1.9,6,1.5,0.3143,0.2,0.92,0.1667,0.9028,58,50,22,47,41,75,MEDIUM,1,68
